ID	source_form	phon_form	notes	source	cognate_class
1	VSE			DyenDB	2
4	POPEL			DyenDB	3
11	VELKY			DyenDB	6
13	KOUSATI			DyenDB	11
14	CERNY			DyenDB	4
15	KREV			DyenDB	5
16	FOUKATI			DyenDB	5
19	DYCHATI			DyenDB	2
21	DITE			DyenDB	4
25	POCITATI			DyenDB	9
27	DEN			DyenDB	3
28	ZEMRITI			DyenDB	3
30	SPINAVY			DyenDB	3
32	PITI			DyenDB	4
34	TUPY			DyenDB	2
38	JISTI			DyenDB	6
39	VEJCE			DyenDB	7
40	OKO			DyenDB	2
48	BOJOVATI, ZAPASITI			DyenDB	11
50	OHEN			DyenDB	4
51	RYBA			DyenDB	3
52	PET			DyenDB	2
54	TECI			DyenDB	4
58	NOHA			DyenDB	3
59	CTYRI			DyenDB	2
60	MRZNOUTI			DyenDB	5
64	DOBRY			DyenDB	4
65	TRAVA			DyenDB	6
67	VNITRNOSTI			DyenDB	4
69	RUKA			DyenDB	5
71	HLAVA			DyenDB	2
74	TEZKY			DyenDB	7
77	DRZETI			DyenDB	10
80	LOVITI			DyenDB	5
81	MANZEL			DyenDB	8
84	JESTLI			DyenDB	2
86	ZABITI			DyenDB	8
89	JEZERO			DyenDB	2
90	SMATI SE			DyenDB	4
91	LIST			DyenDB	2
92	LEVY			DyenDB	9
93	NOHA			DyenDB	3
94	LEZETI			DyenDB	3
95	ZITI			DyenDB	5
101	MASO			DyenDB	7
106	JMENO			DyenDB	3
108	BLIZKY			DyenDB	2
111	NOC			DyenDB	4
112	NOS			DyenDB	5
113	NE			DyenDB	5
114	STARY			DyenDB	2
117	OSOBA			DyenDB	2
120	STRKATI			DyenDB	10
121	PRSETI			DyenDB	11
122	CERVENY			DyenDB	5
123	SPRAVNY			DyenDB	2
124	PRAVY			DyenDB	3
125	REKA			DyenDB	3
126	CESTA			DyenDB	5
127	KOREN			DyenDB	4
129	SHNILY, ZETLELY			DyenDB	4
131	TRITI			DyenDB	3
132	SUL			DyenDB	2
133	PISEK			DyenDB	2
137	VIDETI			DyenDB	3
141	KRATKY			DyenDB	12
142	ZPIVATI			DyenDB	6
144	KUZE			DyenDB	5
145	NEBE			DyenDB	2
147	MALY			DyenDB	11
151	HAD			DyenDB	2
152	SNIH			DyenDB	4
155	STIPATI, ROZSTIPNOUTI			DyenDB	6
156	ZMACKNOUTI, STISKNOUTI			DyenDB	7
159	HVEZDA			DyenDB	3
160	TYCKA, HUL			DyenDB	11
161	KAMEN			DyenDB	6
162	PRIMY			DyenDB	5
166	PLAVATI			DyenDB	3
167	OCAS			DyenDB	16
172	TENKY			DyenDB	2
176	TRI			DyenDB	2
177	HAZETI			DyenDB	9
178	VAZATI, SVAZOVATI			DyenDB	2
180	ZUB			DyenDB	2
181	STROM			DyenDB	3
183	DVA, DVE			DyenDB	2
185	PROCHAZETI SE, CHODITI			DyenDB	16
186	TEPLY			DyenDB	6
188	VODA			DyenDB	4
189	MY			DyenDB	2
190	MOKRY, VLHKY			DyenDB	7
191	CO			DyenDB	3
196	SIROKY			DyenDB	5
199	KRIDLO			DyenDB	3
200	UTIRATI			DyenDB	4
206	ROK			DyenDB	3
