ID	source_form	phon_form	notes	source	cognate_class	reliability
164	ILYOS			DyenDB	164-203	A
165	FUSKONO			DyenDB	165-202	A
166	KOLIMBO			DyenDB	166-006	A
167	URA			DyenDB	167-013	A
168	EKINOS, AFTOS, PU, NA			DyenDB	168-202	A
169	EKI			DyenDB	169-004	A
170	TUS (ACC.)			DyenDB	170-200	A
171	KHONDROS			DyenDB	171-202	A
172	LYANOS			DyenDB		A
173	SKEFTOME, NOMIZO			DyenDB	173-201	A
174	TUTOS, AFTOS			DyenDB	174-202	A
175	ESI			DyenDB	175-200	A
176	TRIA			DyenDB	176-002	A
177	RIKHNO			DyenDB	177-213	A
178	DHENO			DyenDB	178-009	A
179	GHLOSA			DyenDB	179-002	A
180	DHONDI			DyenDB	180-003	A
181	DHENDRO			DyenDB	181-207	A
182	STRIVO			DyenDB	182-211	A
183	DHIO			DyenDB	183-002	A
184	KANO ANAGHULA			DyenDB	184-207	A
185	PERPATO			DyenDB	185-011	A
186	ZESTOS			DyenDB	186-007	A
187	PLENO			DyenDB	187-005	A
188	NERO			DyenDB	188-002	A
189	EMIS			DyenDB	189-002	A
190	OGHROS			DyenDB	190-011	A
191	TI			DyenDB	191-003	A
192	POTE			DyenDB	192-200	A
193	PU			DyenDB	193-200	A
194	ASPROS			DyenDB	194-005	A
195	PYOS			DyenDB	195-200	A
196	PLATIS			DyenDB	196-205	A
197	YINEKA			DyenDB	197-200	A
198	AERAS			DyenDB	198-004	A
199	FTERUGHA			DyenDB	199-200	A
200	SFONGIZO			DyenDB	200-003	A
201	ME			DyenDB	201-204	A
202	YINEKA			DyenDB	202-204	A
203	DHASOS			DyenDB	203-007	A
204	SKULIKI			DyenDB	204-002	A
205	TULOGHUSAS			DyenDB		A
206	KHRONOS			DyenDB	206-013	A
207	KITRINOS			DyenDB	207-006	A
