ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
179	TEAD			DyenDB	179-200	A	179-200
180	DANT			DyenDB	180-003	A	180-003
181	GUEEN			DyenDB	181-009	A	181-009
182	TROEIN			DyenDB	182-005	A	182-005
183	DEU			DyenDB	183-002	A	183-002
184	DAKOREIN			DyenDB		A	
185	KERHET			DyenDB	185-004	A	185-004
186	TUEM			DyenDB	186-006	A	186-006
187	GOLHEIN			DyenDB	187-002	A	187-002
188	DEUR			DyenDB	188-005	A	188-005
189	NI			DyenDB	189-002	A	189-002
190	GLOEB			DyenDB	190-003	A	190-003
191	PETRA			DyenDB	191-003	A	191-003
192	PEUR			DyenDB	192-200	A	192-200
193	MEN			DyenDB		A	
194	GUEN			DyenDB	194-003	A	194-003
195	PIU			DyenDB	195-200	A	195-200
196	LEDAN			DyenDB	196-203	A	196-205
197	MOEZ, GROEG (DIAL.)			DyenDB	197-003	A	197-003
198	AUEL			DyenDB	198-200	A	198-202
199	ASKEL			DyenDB	199-007	A	199-007
200	SEHEIN			DyenDB	200-009	A	200-009
201	GET			DyenDB	201-211	A	201-211
202	MOEZ			DyenDB	202-006	A	202-006
203	KOED			DyenDB	203-008	A	203-008
204	PREAN			DyenDB	204-200	A	204-200
205	HUI			DyenDB	205-200	A	205-200
206	BLE			DyenDB	206-006	A	206-006
207	MELEN			DyenDB	207-002	A	207-002
