ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
129	FAUL			DyenDB	129-006	A	129-006
132	SOLSZ			DyenDB	132-002	A	132-002
133	SONNDT			DyenDB	133-004	A	133-004
134	SAWG			DyenDB	134-005	A	134-005
135	GROTZ			DyenDB	135-006	A	135-006
136	SAY			DyenDB	136-200	A	136-202
137	SAY			DyenDB	137-005	A	137-005
138	SAWME			DyenDB	138-200	A	138-200
139	NAY			DyenDB	139-004	A	139-004
140	SCHARIF			DyenDB	140-004	A	140-004
141	KOTZ			DyenDB	141-003	A	141-003
142	SING			DyenDB	142-005	A	142-005
143	HUCK			DyenDB		A	
144	HAUT			DyenDB	144-200	A	144-202
145	HIMMEL			DyenDB	145-200	A	145-200
146	SCHLOEF			DyenDB	146-005	A	146-005
147	GLAY			DyenDB	147-002	A	147-002
148	SCHMOCK			DyenDB		A	
149	SCHMOECK			DyenDB	149-003	A	149-003
150	GLOT			DyenDB	150-205	A	150-209
151	SCHLUNG			DyenDB	151-203	A	151-203
152	SCHNAY			DyenDB	152-004	A	152-004
153	DAYL			DyenDB		A	
154	SCHPAUTZ			DyenDB	154-205	A	154-206
155	SCHPOLLD			DyenDB	155-002	A	155-002
156	DRICK			DyenDB	156-009	A	156-009
157	SCHTECH			DyenDB	157-003	A	157-003
158	SCHTAY			DyenDB	158-202	A	158-205
159	SCHTAAN			DyenDB	159-004	A	159-004
160	SCHTECKE			DyenDB	160-013	A	160-013
161	SCHTAY			DyenDB	161-004	A	161-004
162	GRAWD			DyenDB	162-010	A	162-010
164	SUUN			DyenDB	164-203	A	164-203
165	SCHWELLE UF			DyenDB	165-002	A	165-002
166	SCHWIMM			DyenDB	166-002	A	166-002
167	SCHWONNSZ			DyenDB	167-002	A	167-002
168	ASZ			DyenDB		A	
169	ES			DyenDB		A	
170	SIE			DyenDB	170-200	A	170-200
171	DICK			DyenDB	171-212	A	171-212
172	DIN			DyenDB	172-002	A	172-002
173	DENK			DyenDB	173-003	A	173-003
174	DAIIR (M.), DIE (F.), DES (N.)			DyenDB	174-200	A	174-205
175	DU			DyenDB	175-200	A	175-200
176	DREI			DyenDB	176-002	A	176-002
177	SCHMEISS			DyenDB	177-211	A	177-215
178	BINN			DyenDB	178-203	A	178-203
179	ZUUNG			DyenDB	179-200	A	179-200
180	ZAW (FEDDERSCHT)			DyenDB		A	
181	BAWM			DyenDB	181-004	A	181-004
182	DRAY			DyenDB	182-003	A	182-003
183	ZWAY			DyenDB	183-002	A	183-002
185	LAWF			DyenDB	185-014	A	185-014
186	WAAREM			DyenDB	186-002	A	186-002
187	WESCH			DyenDB	187-006	A	187-006
188	WASSER			DyenDB	188-004	A	188-004
189	MIER			DyenDB	189-002	A	189-002
190	NAASZ			DyenDB	190-004	A	190-004
191	WAAS			DyenDB	191-003	A	191-003
192	WONN			DyenDB	192-200	A	192-200
193	WUU			DyenDB	193-200	A	193-200
194	WEISZ			DyenDB	194-205	A	194-205
195	WAIIR			DyenDB	195-200	A	195-200
196	BRAYT			DyenDB	196-200	A	196-202
197	FRAW			DyenDB	197-005	A	197-005
198	WINDT			DyenDB	198-200	A	198-202
199	FLIGGEL			DyenDB	199-004	A	199-004
200	BUUTZ			DyenDB		A	
201	MIT			DyenDB	201-205	A	201-205
202	WEIBSMENSCH			DyenDB	202-003	A	202-003
203	BUSCH			DyenDB	203-209	A	203-209
204	WAAREM			DyenDB	204-203	A	204-205
206	YAWR			DyenDB	206-004	A	206-004
207	GAYL			DyenDB	207-200	A	207-200
