ID	source_form	phon_form	notes	source	cognate_class	reliability
157	XULA DI-			DyenDB	150-100	A
163	SUP-			DyenDB	156-202	A
165	PEDEMES-			DyenDB	158-101	A
166	USINAWERI TSER, QELOC XUS-, WEZAN DI-			DyenDB	159-001	A
177	KUT-			DyenDB	170-001	A
178	VUND			DyenDB	171-203	A
184	WOQ-			DyenDB	177-001	A
187	WUZDI-			DyenDB	180-001	A
179	ZIK			DyenDB	172-203	A
180	DENDUK			DyenDB	173-003	A
181	DERUXT			DyenDB	174-200	A
183	BOJ			DyenDB	176-002	A
186	THIN, GERM, SONDER			DyenDB	179-002	A
188	YUPK			DyenDB	181-204	A
189	SUK			DyenDB	182-001	A
190	XUSC			DyenDB	183-203	A
191	CIZ, CICIZ			DyenDB	184-003	A
192	TSOGHD, TSOGHDER, TSEWUXT			DyenDB	185-001	A
193	KUMER, KUMJAEI			DyenDB	186-200	A
194	ROXUN			DyenDB	187-001	A
195	KUI			DyenDB	188-200	A
196	KESOD, FERUX			DyenDB	189-209	A
197	JUMAUT, KEND, YUPKWOR			DyenDB	190-001	A
198	DUMA, SEMOL			DyenDB	191-206	A
199	TUP			DyenDB	192-001	A
200	VISUV, TUF DI-			DyenDB	193-011	A
201	DU			DyenDB	194-001	A
202	XUINUN, AURUT, OJIZ			DyenDB	195-001	A
204	PERIC			DyenDB	197-001	A
205	SUST			DyenDB	198-100	A
206	SOL			DyenDB	199-010	A
207	ZERT			DyenDB	200-200	A
