ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
149	DHUWAN			DyenDB	149-200	A	149-200
150	CHILLO			DyenDB	150-100	C	150-100
151	LAMKIRA, NAG			DyenDB	151-400	C	151-400
152	HIUN			DyenDB	152-200	A	152-200
153	KOI			DyenDB	153-204	A	153-204
154	THUKNU			DyenDB	154-202	A	154-202
155	CHIRNU, PHATNU			DyenDB	155-200	A	155-201
156	NICHAUNU, CHEPNU, ANTIAUNU			DyenDB	156-019	A	156-019
157	GHOCHNU CHHURI DASNU			DyenDB	157-202	A	157-203
158	UBHINU, THARO HUNNU, ARINU			DyenDB	158-202	A	158-203
159	TARA			DyenDB	159-004	A	159-004
160	LAURO, CHHARI			DyenDB	160-200	A	160-203
161	DHUNGA			DyenDB	161-008	A	161-008
162	SOJHO			DyenDB	162-004	A	162-004
163	CHUSNU			DyenDB	163-002	A	163-002
164	GHAM, SURJ			DyenDB	164-203	A	164-204
165	SUNINU			DyenDB	165-004	A	165-004
166	PAURNU			DyenDB	166-010	A	166-010
167	PUCHHAR			DyenDB	167-006	A	167-006
168	TIO			DyenDB	168-200	A	168-200
169	UTHA			DyenDB	169-203	A	169-205
170	UNIHARU			DyenDB	170-210	A	170-210
171	MOTO, BAKLO, KHASRO			DyenDB	171-203	A	171-203
172	DUBLO, MASINO			DyenDB	172-200	A	172-201
173	BICHAR GARNU, SOCHNU			DyenDB	173-206	A	173-207
174	YO			DyenDB	174-200	A	174-204
175	T			DyenDB	175-200	A	175-200
176	TIN			DyenDB	176-002	A	176-002
177	PHALNU			DyenDB	177-008	A	177-008
178	KASNU			DyenDB		A	
179	JIBRO			DyenDB	179-200	A	179-200
180	DANT			DyenDB	180-003	A	180-003
181	RUKH, BOT			DyenDB	181-203	A	181-203
182	PHARKNU			DyenDB	182-205	A	182-205
183	DUITA, DUI			DyenDB	183-002	A	183-002
184	CHHADNU, WAK, WAK GARNU, OKWAKNU			DyenDB	184-200	A	184-201
185	DULNU			DyenDB	185-008	A	185-008
186	MANTATO, TATO			DyenDB	186-004	A	186-004
188	PANI, JEL			DyenDB	188-200	A	188-201
189	HAMIHARU			DyenDB	189-002	A	189-002
190	CHILO, RUJHIYO			DyenDB		A	
191	KYA			DyenDB	191-003	A	191-003
192	KAILE			DyenDB	192-200	A	192-200
193	KAHAN			DyenDB	193-200	A	193-200
194	SETO			DyenDB	194-205	A	194-205
195	KO			DyenDB	195-200	A	195-200
196	GAJILO			DyenDB	196-206	A	196-206
197	SWASHNI			DyenDB	197-006	A	197-006
198	BATAS			DyenDB	198-204	A	198-204
200	POCHHNU, GASNU			DyenDB	200-014	A	200-014
201	SITA, SANG			DyenDB	201-200	A	201-200
202	AIMAI			DyenDB	202-205	A	202-211
203	BAN			DyenDB	203-212	A	203-212
205	TIMIHARU			DyenDB	205-003	A	205-003
206	SAL			DyenDB	206-200	A	206-202
207	PAHILO			DyenDB	207-202	A	207-202
